Наименование,Артикул,Описание,Характеристики,Картинки
Литерат.чтение 2кл. ч.1,10043,"Представленные в учебнике произведения помогут развить у детей литературный вкус и расширить их читательский кругозор.

Система упражнений, вопросов и заданий к текстам позволит сформировать определенные образовательным стандартом читательские компетенции, развить творческие наклонности учащихся.

Основное внимание уделяется навыку чтения, однако при этом продолжается систематическая работа над литературным образованием и универсальными учебными действиями учащихся, формированием их мировоззрения и любви к чтению.

Учителям и родителям эта книга поможет превратить чтение детей в полезное и увлекательное занятие в школе и дома.

","{'Автор:': 'Кубасова', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2022', 'Артикул:': '10043', 'Входит в УМК:': 'Нет', 'Федеральный перечень:': 'Да', 'ISBN:': '978-5-09-090283-0', 'Автор': 'Кубасова', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2022', 'Артикул': '10043', 'Входит в УМК': 'Нет', 'Федеральный перечень': 'Да', 'Класс': '2 класс', 'Предмет': 'Литературное чтение', 'ISBN': '978-5-09-090283-0', 'ФГОС': 'Да'}",['Results\\10043\\10043.jpg']
Русский язык 2 класс. К тайнам нашего языка. Тетрадь-задачник. В 3-х частях. Часть 1. Рабочая тетрадь. ФГОС,10063,"Тетрадь-задачник предназначается для организации наблюдений и тренировочной работы при изучении русского языка по учебнику М. С. Соловейчик, Н. С. Кузьменко, является обязательным дополнением к нему.","{'Автор:': 'Соловейчик М.С. / Кузьменко Н.С.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2021-2022', 'Артикул:': '10063', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-088398-6', 'Автор': 'Соловейчик М.С. / Кузьменко Н.С.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2021-2022', 'Артикул': '10063', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '2 класс', 'Предмет': 'Русский язык', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-088398-6', 'ФГОС': 'Да'}",['Results\\10063\\10063.jpg']
Русский язык 2 класс. К тайнам нашего языка. Тетрадь-задачник. В 3-х частях. Часть 2. Рабочая тетрадь. ФГОС,10064,"Тетрадь-задачник предназначается для организации наблюдений и тренировочной работы при изучении русского языка по учебнику М. С. Соловейчик, Н. С. Кузьменко, является обязательным дополнением к нему.","{'Автор:': 'Соловейчик М.С. / Кузьменко Н.С.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2021-2022', 'Артикул:': '10064', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-088400-6', 'Автор': 'Соловейчик М.С. / Кузьменко Н.С.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2021-2022', 'Артикул': '10064', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '2 класс', 'Предмет': 'Русский язык', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-088400-6', 'ФГОС': 'Да'}",['Results\\10064\\10064.jpg']
Русский язык 2 класс. К тайнам нашего языка. Тетрадь-задачник. В 3-х частях. Часть 3. Рабочая тетрадь. ФГОС,10065,"Тетрадь-задачник предназначается для организации наблюдений и тренировочной работы при изучении русского языка по учебнику М. С. Соловейчик, Н. С. Кузьменко, является обязательным дополнением к нему.","{'Автор:': 'Соловейчик М.С. / Кузьменко Н.С.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2022', 'Артикул:': '10065', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-088401-3', 'Автор': 'Соловейчик М.С. / Кузьменко Н.С.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2022', 'Артикул': '10065', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '2 класс', 'Предмет': 'Русский язык', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-088401-3', 'ФГОС': 'Да'}",['Results\\10065\\10065.jpg']
Русский язык 3 класс. Тетрадь-задачник. В 3-х частях. Часть 1. Рабочая тетрадь. ФГОС,10068,"Тетрадь-задачник предназначается для организации наблюдений и тренировочной работы при изучении русского языка по учебнику М. С. Соловейчик, Н. С. Кузьменко, является обязательным дополнением к нему.","{'Автор:': 'Соловейчик М.С. / Кузьменко Н.С.', 'Издательство:': 'Просвещение/Союз', 'Год издания:': '2022', 'Артикул:': '10068', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-088402-0', 'Автор': 'Соловейчик М.С. / Кузьменко Н.С.', 'Издательство': 'Просвещение/Союз', 'Год издания': '2022', 'Артикул': '10068', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '3 класс', 'Предмет': 'Русский язык', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Количество страниц': '0', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-088402-0', 'ФГОС': 'Да'}",['Results\\10068\\10068.jpg']
Русский язык 3 класс. Тетрадь-задачник. В 3-х частях. Часть 2. Рабочая тетрадь. ФГОС,10069,"Тетрадь-задачник предназначается для организации наблюдений и тренировочной работы при изучении русского языка по учебнику М. С. Соловейчик, Н. С. Кузьменко, является обязательным дополнением к нему.","{'Автор:': 'Соловейчик М.С. / Кузьменко Н.С.', 'Издательство:': 'Просвещение/Союз', 'Год издания:': '2022', 'Артикул:': '10069', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-088404-4', 'Автор': 'Соловейчик М.С. / Кузьменко Н.С.', 'Издательство': 'Просвещение/Союз', 'Год издания': '2022', 'Артикул': '10069', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '3 класс', 'Предмет': 'Русский язык', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Количество страниц': '0', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-088404-4', 'ФГОС': 'Да'}",['Results\\10069\\10069.jpg']
Русский язык 3 класс. Тетрадь-задачник. В 3-х частях. Часть 3. Рабочая тетрадь. ФГОС,10070,"Тетрадь-задачник предназначается для организации наблюдений и тренировочной работы при изучении русского языка по учебнику М. С. Соловейчик, Н. С. Кузьменко, является обязательным дополнением к нему.","{'Автор:': 'Кузьменко Н.С. / Бетенькова Н.М.', 'Издательство:': 'Просвещение/Союз', 'Год издания:': '2022', 'Артикул:': '10070', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-088405-1', 'Автор': 'Кузьменко Н.С. / Бетенькова Н.М.', 'Издательство': 'Просвещение/Союз', 'Год издания': '2022', 'Артикул': '10070', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '3 класс', 'Предмет': 'Русский язык', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-088405-1', 'ФГОС': 'Да'}",['Results\\10070\\10070.jpg']
Математика 5 класс. Натуральные числа. Рабочая тетрадь. Часть 1,10084,Описания нет,"{'Автор:': 'Истомина Н.Б.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2017', 'Артикул:': '10084', 'Входит в УМК:': 'Нет', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-418-01352-1', 'Автор': 'Истомина Н.Б.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2017', 'Артикул': '10084', 'Входит в УМК': 'Нет', 'Федеральный перечень': 'Нет', 'Класс': '5 класс', 'Предмет': 'Математика', 'Тип материала': 'Рабочие тетради', 'Группа литературы': 'учебная литература для школы', 'Количество страниц': '80', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-418-01352-1', 'ФГОС': 'Нет'}",['Results\\10084\\10084.jpg']
Математика 5 класс. Обыкновенные дроби. Рабочая тетрадь. Часть 2,10085,Описания нет,"{'Автор:': 'Истомина Н.Б.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2022', 'Артикул:': '10085', 'Входит в УМК:': 'Нет', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-090128-4', 'Автор': 'Истомина Н.Б.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2022', 'Артикул': '10085', 'Входит в УМК': 'Нет', 'Федеральный перечень': 'Нет', 'Класс': '5 класс', 'Предмет': 'Математика', 'Тип материала': 'Рабочие тетради', 'Группа литературы': 'учебная литература для школы', 'Количество страниц': '64', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-090128-4', 'ФГОС': 'Нет'}",['Results\\10085\\10085.jpg']
Математика 5 класс. Десятичные дроби. Натуральные числа. Рабочая тетрадь. Часть 3,10086,Описания нет,"{'Автор:': 'Истомина Н.Б.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2017', 'Артикул:': '10086', 'Входит в УМК:': 'Нет', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-418-01354-5', 'Автор': 'Истомина Н.Б.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2017', 'Артикул': '10086', 'Входит в УМК': 'Нет', 'Федеральный перечень': 'Нет', 'Класс': '5 класс', 'Предмет': 'Математика', 'Тип материала': 'Рабочие тетради', 'Группа литературы': 'учебная литература для школы', 'Количество страниц': '64', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-418-01354-5', 'ФГОС': 'Нет'}",['Results\\10086\\10086.jpg']
Наглядная геометрия 1 класс. ФГОС,10087,"Выполнение заданий, предложенных в Тетради, способствует формированию у первоклассников представлений о форме предметов, их взаимном расположении и изображении на плоскости; развивает пространственное мышление и воображение младших школьников. В соответствии с требованиями Федерального государственного образовательного стандарта начального общего образования Тетрадь целесообразно использовать для организации внеурочной деятельности по направлениям интеллектуального и общекультурного развития личности в рамках предметной области «Математика и информатика».","{'Автор:': 'Истомина Н.Б.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2021-2022', 'Артикул:': '10087', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-088588-1', 'Автор': 'Истомина Н.Б.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2021-2022', 'Артикул': '10087', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '1 класс', 'Предмет': 'Геометрия', 'Тип материала': 'Учебно-наглядное пособие', 'ISBN': '978-5-09-088588-1', 'ФГОС': 'Да'}",['Results\\10087\\10087.jpg']
Наглядная Геометрия 2 класс. ФГОС,10088,"Тетрадь «Наглядная геометрия» для 2 класса является продолжением Тетради с одноимённым названием для 1 класса. В процессе выполнения заданий, предложенных в Тетради, у второклассников расширяются представления о плоских и кривых поверхностях, об углах, многоугольниках и многогранниках. В соответствии с требованиями Федерального государственного образовательного стандарта начального общего образования Тетрадь целесообразно использовать для организации внеурочной деятельности по направлениям интеллектуального и общекультурного развития личности в рамках предметной области «Математика и информатика».","{'Автор:': 'Истомина Н.Б.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2022', 'Артикул:': '10088', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-090130-7', 'Автор': 'Истомина Н.Б.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2022', 'Артикул': '10088', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '2 класс', 'Предмет': 'Геометрия', 'Тип материала': 'Учебно-наглядное пособие', 'ISBN': '978-5-09-090130-7', 'ФГОС': 'Да'}",['Results\\10088\\10088.jpg']
Наглядная Геометрия 3 класс. ФГОС,10094,"Тетрадь «Наглядная геометрия» для 3 класса является продолжением Тетрадей с одноимённым названием для 1 и 2 классов. В процессе выполнения заданий, предложенных в данной тетради, у учащихся расширяются и дифференцируются представления о плоских и кривых поверхностях, о многогранниках, о пересечении фигур; о круге как сечении шара, о связи круга и окружности как его границы, о взаимном расположении окружностей и кругов на плоскости. В соответствии с требованиями Федерального государственного образовательного стандарта начального общего образования рекомендуем использовать тетрадь для внеурочной деятельности по направлениям интеллектуального и общекультурного развития личности.","{'Автор:': 'Истомина Н.Б. / Редько З.Б.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2022', 'Артикул:': '10094', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-090131-4', 'Автор': 'Истомина Н.Б. / Редько З.Б.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2022', 'Артикул': '10094', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '3 класс', 'Предмет': 'Геометрия', 'Тип материала': 'Учебно-наглядное пособие', 'ISBN': '978-5-09-090131-4', 'ФГОС': 'Да'}",['Results\\10094\\10094.jpg']
